ID, cap shape, cap surface, cap color
1,x,s,n
2,x,s,y
3,b,s,w
4,x,y,w
5,x,s,g
6,x,y,y
7,b,s,w
8,b,y,w
9,x,y,w
10,b,s,y
11,x,y,y
12,x,y,y
13,b,s,y
14,x,y,w
15,x,f,n
16,s,f,g
17,f,f,w
18,x,s,n
19,x,y,w
20,x,s,n
21,b,s,y
22,x,y,n
23,b,y,y
24,b,y,w
25,b,s,w
26,f,s,w
27,x,y,y
28,x,y,w
29,f,f,n
30,x,s,y
31,b,s,y
32,x,y,w
33,x,y,y
34,x,y,n
35,b,y,y
36,x,f,y
37,s,f,g
38,x,y,n
39,x,f,y
40,b,s,y
41,b,y,y
42,x,y,y
43,x,f,n
44,x,y,w
45,x,s,y
46,x,y,w
47,x,y,y
48,x,s,w
49,x,y,y
50,f,y,y
51,x,y,n
52,x,s,w
53,b,s,w
54,x,y,n
55,x,s,w
56,b,y,y
57,f,f,g
58,b,s,w
59,x,s,y
60,x,y,n
61,s,f,g
62,b,y,y
63,b,s,y
64,b,y,y
65,b,y,w
66,f,s,n
67,x,s,w
68,f,y,y
69,x,y,y
70,x,f,g
71,f,f,y
72,b,y,w
73,f,f,y
74,x,y,n
75,b,s,y
76,f,s,y
77,x,s,w
78,f,y,n
79,x,y,n
80,f,y,n
81,x,s,n
82,x,y,w
83,f,f,g
84,x,f,g
85,x,y,y
86,x,s,n
87,b,s,w
88,x,s,w
89,f,y,n
90,s,f,n
91,x,f,n
92,b,s,w
93,x,y,y
94,x,y,y
95,x,s,n
96,x,s,w
97,f,y,n
98,x,s,y
99,b,s,w
100,x,y,w
101,x,f,n
102,b,s,y
103,f,y,y
104,x,y,y
105,b,y,w
106,x,y,y
107,x,y,y
108,b,y,w
109,b,y,w
110,x,s,y
111,x,s,y
112,s,f,g
113,x,f,w
114,x,s,y
115,x,y,w
116,x,y,y
117,s,f,g
118,x,y,y
119,x,s,y
120,s,f,n
121,x,s,w
122,x,y,w
123,f,y,n
124,f,s,g
125,x,s,y
126,x,s,w
127,b,s,y
128,f,f,g
129,x,s,w
130,b,s,w
131,b,s,w
132,b,y,w
133,f,s,w
134,x,y,y
135,f,s,w
136,x,y,w
137,f,f,w
138,x,y,y
139,x,s,n
140,b,s,y
141,x,y,n
142,b,y,y
143,s,f,n
144,f,y,n
145,x,y,y
146,x,f,g
147,f,f,w
148,x,y,y
149,b,s,y
150,b,y,w
151,x,y,w
152,x,s,n
153,x,y,w
154,s,f,n
155,x,s,w
156,x,y,n
157,b,y,y
158,x,y,w
159,b,y,w
160,b,s,y
161,b,s,y
162,b,y,y
163,x,f,n
164,f,y,n
165,x,y,w
166,f,y,y
167,b,s,w
168,b,s,w
169,x,y,n
170,b,s,w
171,x,f,g
172,b,s,y
173,x,f,y
174,b,y,y
175,f,y,y
176,b,y,w
177,b,y,w
178,b,y,y
179,x,y,y
180,b,s,y
181,x,y,w
182,s,f,n
183,f,f,n
184,x,s,y
185,f,y,n
186,x,y,w
187,b,s,w
188,f,f,g
189,b,y,y
190,x,y,n
191,x,f,w
192,x,s,w
193,b,s,w
194,f,s,y
195,x,s,y
196,f,f,g
197,b,s,y
198,x,s,w
199,x,y,w
200,f,s,w
201,x,y,y
202,b,s,w
203,x,s,w
204,x,f,w
205,f,y,n
206,x,s,w
207,b,s,w
208,b,s,w
209,b,y,w
210,b,y,w
211,x,s,y
212,b,s,w
213,x,f,y
214,x,f,g
215,f,y,y
216,b,s,w
217,x,s,y
218,x,y,y
219,x,y,w
220,s,f,g
221,x,s,w
222,x,s,w
223,x,y,y
224,f,f,w
225,x,y,w
226,b,y,w
227,x,s,w
228,x,s,y
229,x,y,n
230,b,s,y
231,x,f,g
232,x,y,w
233,x,y,y
234,f,f,n
235,b,s,w
236,x,f,w
237,x,y,w
238,b,y,y
239,x,y,y
240,f,y,y
241,f,y,y
242,x,s,w
243,x,s,w
244,x,s,w
245,f,f,w
246,x,s,w
247,x,s,w
248,x,y,w
249,f,y,y
250,x,s,n
251,f,y,y
252,x,s,n
253,s,f,n
254,b,y,y
255,b,s,w
256,b,y,w
257,f,f,n
258,x,s,w
259,b,y,w
260,b,y,w
261,f,y,n
262,x,y,w
263,x,s,w
264,x,y,w
265,f,f,w
266,f,f,g
267,f,s,g
268,x,y,y
269,b,s,w
270,f,y,n
271,x,s,w
272,f,s,n
273,x,y,w
274,x,y,y
275,f,y,y
276,x,y,n
277,f,y,n
278,x,y,w
279,f,f,n
280,x,s,y
281,x,y,w
282,b,y,y
283,s,f,n
284,x,s,y
285,b,y,w
286,f,y,n
287,b,y,y
288,b,y,w
289,x,y,n
290,f,f,g
291,x,f,g
292,b,y,y
293,x,s,y
294,b,y,w
295,x,s,w
296,b,s,y
297,x,s,y
298,x,f,g
299,f,s,y
300,x,y,w
301,x,f,w
302,b,y,w
303,x,s,y
304,b,y,w
305,x,y,w
306,x,f,n
307,b,y,w
308,x,s,y
309,f,y,n
310,x,f,w
311,x,s,y
312,x,y,w
313,x,y,y
314,x,f,w
315,b,s,y
316,x,y,w
317,x,s,y
318,x,y,w
319,x,f,w
320,f,s,w
321,x,y,y
322,f,f,y
323,x,s,w
324,b,y,y
325,x,y,n
326,b,y,w
327,x,s,y
328,x,y,n
329,b,s,y
330,b,y,w
331,x,y,n
332,b,s,w
333,b,y,y
334,b,y,y
335,x,y,w
336,x,f,n
337,x,y,n
338,b,s,y
339,x,f,g
340,x,y,n
341,x,s,w
342,b,y,w
343,x,s,y
344,f,f,y
345,b,y,y
346,x,f,n
347,x,f,y
348,x,s,y
349,f,s,g
350,x,f,n
351,f,s,g
352,f,y,n
353,b,y,w
354,b,s,y
355,x,y,y
356,s,f,g
357,f,y,n
358,x,y,n
359,x,y,y
360,x,y,y
361,x,f,n
362,x,f,n
363,f,s,n
364,f,y,n
365,x,s,y
366,f,f,n
367,x,y,y
368,x,f,y
369,b,y,y
370,x,f,g
371,x,y,y
372,f,y,n
373,x,s,y
374,s,f,n
375,x,s,w
376,b,s,w
377,s,f,n
378,b,y,y
379,x,y,y
380,b,y,y
381,x,y,n
382,x,s,w
383,x,y,w
384,b,s,w
385,x,f,n
386,x,s,n
387,x,y,n
388,x,s,n
389,b,y,y
390,x,s,y
391,b,s,y
392,x,s,y
393,b,y,w
394,x,f,g
395,f,y,n
396,x,f,g
397,x,s,w
398,x,y,y
399,x,f,g
400,x,s,n
401,b,y,w
402,b,y,w
403,x,y,n
404,b,s,y
405,x,s,w
406,x,y,y
407,b,y,y
408,x,s,w
409,x,s,w
410,x,y,n
411,x,s,w
412,x,s,n
413,x,y,n
414,x,y,y
415,x,y,n
416,b,y,y
417,x,f,w
418,x,s,n
419,x,y,y
420,f,f,g
421,x,y,w
422,b,y,w
423,x,y,n
424,f,y,n
425,x,s,w
426,x,s,w
427,f,y,n
428,b,s,w
429,x,s,w
430,f,f,g
431,x,y,w
432,x,y,y
433,b,s,y
434,b,s,y
435,f,s,w
436,b,s,w
437,x,f,y
438,x,y,w
439,b,y,y
440,x,y,n
441,x,y,w
442,x,y,w
443,x,y,y
444,x,y,w
445,x,s,y
446,x,y,n
447,x,s,w
448,f,y,n
449,b,s,w
450,x,f,n
451,x,y,w
452,b,s,w
453,b,s,y
454,x,f,y
455,b,s,w
456,x,s,g
457,b,s,w
458,b,s,y
459,f,y,y
460,f,y,n
461,x,s,w
462,f,y,y
463,b,s,w
464,x,y,y
465,x,f,n
466,f,y,n
467,x,s,w
468,x,s,y
469,b,y,y
470,f,y,y
471,x,y,y
472,x,y,w
473,f,f,w
474,s,f,g
475,f,s,y
476,f,f,g
477,x,f,n
478,b,y,w
479,x,s,w
480,b,y,y
