ID, gill attachment, gill spacing, gill size, gill color
1,f,c,n,k
2,f,c,b,k
3,f,c,b,n
4,f,c,n,n
5,f,w,b,k
6,f,c,b,n
7,f,c,b,g
8,f,c,b,n
9,f,c,n,p
10,f,c,b,g
11,f,c,b,g
12,f,c,b,n
13,f,c,b,w
14,f,c,n,k
15,f,w,b,n
16,f,c,n,k
17,f,w,b,k
18,f,c,n,n
19,f,c,n,n
20,f,c,n,k
21,f,c,b,k
22,f,c,n,n
23,f,c,b,k
24,f,c,b,w
25,f,c,b,g
26,f,c,n,n
27,f,c,b,n
28,f,c,b,w
29,f,c,n,k
30,f,w,n,n
31,f,c,b,g
32,f,c,n,k
33,f,c,b,n
34,f,c,b,p
35,f,c,b,n
36,f,w,n,w
37,f,c,n,k
38,f,c,n,w
39,f,w,n,p
40,f,c,b,k
41,f,c,b,n
42,f,c,b,n
43,f,c,n,g
44,f,c,n,p
45,f,c,b,w
46,f,c,b,n
47,f,c,b,k
48,f,c,b,w
49,f,c,b,n
50,f,c,b,w
51,f,c,b,w
52,f,c,b,k
53,f,c,b,k
54,f,c,n,k
55,f,c,n,k
56,f,c,b,w
57,f,w,b,n
58,f,c,b,w
59,f,c,b,k
60,f,c,b,p
61,f,c,n,k
62,f,c,b,k
63,f,c,b,g
64,f,c,b,g
65,f,c,b,n
66,f,w,b,k
67,f,c,b,n
68,f,c,b,w
69,f,c,b,w
70,f,c,n,p
71,f,w,n,p
72,f,c,b,g
73,f,w,n,w
74,f,c,b,p
75,f,c,b,k
76,f,w,n,p
77,f,w,n,n
78,f,c,b,p
79,f,c,n,w
80,f,c,b,n
81,f,w,b,k
82,f,c,n,w
83,f,c,n,n
84,f,w,b,n
85,f,c,b,w
86,f,w,b,k
87,f,c,b,w
88,f,c,b,n
89,f,c,b,w
90,f,c,n,n
91,f,c,n,n
92,f,c,b,k
93,f,c,b,g
94,f,c,b,g
95,f,w,b,n
96,f,c,b,g
97,f,c,b,p
98,f,c,b,n
99,f,c,b,g
100,f,c,b,g
101,f,w,b,p
102,f,c,b,n
103,f,c,b,w
104,f,c,b,n
105,f,c,b,g
106,f,c,b,n
107,f,c,b,w
108,f,c,b,n
109,f,c,b,g
110,f,c,b,k
111,f,c,b,w
112,f,c,n,g
113,f,w,n,w
114,f,c,b,n
115,f,c,n,n
116,f,c,b,p
117,f,c,n,p
118,f,c,b,w
119,f,w,n,p
120,f,c,n,k
121,f,c,n,k
