"ID","spore_print_color","population","habitat","edible_or_poisonous","bruises","odor","cap_shape","cap_surface","cap_color","gill_attachment","gill_spacing","gill_size","gill_color","ring_number","ring_type","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","stalk_shape","veil_type","veil_color"
1,"black","scattered","urban","poisonous","TRUE","pungent","convex","smooth","brown","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
2,"brown","numerous","grasses","edible","TRUE","almond","convex","smooth","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
3,"brown","numerous","meadows","edible","TRUE","anise","bell","smooth","white","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
4,"black","scattered","urban","poisonous","TRUE","pungent","convex","scaly","white","free","close","narrow","brown","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
5,"brown","abundant","grasses","edible","FALSE","none","convex","smooth","gray","free","crowded","broad","black","1","evanescent","equal","smooth","smooth","white","white","tapering","partial","white"
6,"black","numerous","grasses","edible","TRUE","almond","convex","scaly","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
7,"black","numerous","meadows","edible","TRUE","almond","bell","smooth","white","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
8,"brown","scattered","meadows","edible","TRUE","anise","bell","scaly","white","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
9,"black","several","grasses","poisonous","TRUE","pungent","convex","scaly","white","free","close","narrow","pink","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
10,"black","scattered","meadows","edible","TRUE","almond","bell","smooth","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
11,"brown","numerous","grasses","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
12,"black","scattered","meadows","edible","TRUE","almond","convex","scaly","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
13,"brown","scattered","grasses","edible","TRUE","almond","bell","smooth","yellow","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
14,"brown","several","urban","poisonous","TRUE","pungent","convex","scaly","white","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
15,"black","abundant","grasses","edible","FALSE","none","convex","fibrous","brown","free","crowded","broad","brown","1","evanescent","equal","smooth","fibrous","white","white","tapering","partial","white"
16,"brown","solitary","urban","edible","FALSE","none","sunken","fibrous","gray","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
17,"brown","abundant","grasses","edible","FALSE","none","flat","fibrous","white","free","crowded","broad","black","1","evanescent","equal","smooth","smooth","white","white","tapering","partial","white"
18,"black","scattered","grasses","poisonous","TRUE","pungent","convex","smooth","brown","free","close","narrow","brown","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
19,"brown","scattered","urban","poisonous","TRUE","pungent","convex","scaly","white","free","close","narrow","brown","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
