ID, spore print color, population, habitat, edible or poisonous, bruises, odor
1,k,s,u,p,t,p
2,n,n,g,e,t,a
3,n,n,m,e,t,l
4,k,s,u,p,t,p
5,n,a,g,e,f,n
6,k,n,g,e,t,a
7,k,n,m,e,t,a
8,n,s,m,e,t,l
9,k,v,g,p,t,p
10,k,s,m,e,t,a
11,n,n,g,e,t,l
12,k,s,m,e,t,a
13,n,s,g,e,t,a
14,n,v,u,p,t,p
15,k,a,g,e,f,n
16,n,y,u,e,f,n
17,n,a,g,e,f,n
18,k,s,g,p,t,p
19,n,s,u,p,t,p
20,n,s,u,p,t,p
21,n,s,m,e,t,a
22,n,v,g,p,t,p
23,n,s,m,e,t,l
24,n,n,m,e,t,a
25,k,s,m,e,t,l
26,n,v,g,p,t,p
27,n,n,m,e,t,a
28,n,n,m,e,t,l
29,k,y,u,e,f,n
30,n,v,d,e,t,a
31,n,n,m,e,t,l
32,n,s,u,p,t,p
33,n,n,m,e,t,l
34,n,y,p,e,t,l
35,n,s,m,e,t,l
36,n,v,d,e,t,l
37,k,v,u,e,f,n
38,n,s,u,p,t,p
39,n,v,d,e,t,a
40,k,s,m,e,t,l
41,n,s,g,e,t,a
42,k,y,p,e,t,l
43,k,y,u,e,f,n
44,n,v,g,p,t,p
45,k,n,m,e,t,a
46,n,n,g,e,t,a
47,k,s,m,e,t,l
48,n,n,m,e,t,l
49,n,s,p,e,t,l
50,k,s,p,e,t,l
51,k,s,g,e,t,a
52,k,s,g,e,t,l
53,n,n,m,e,t,l
54,n,v,u,p,t,p
55,k,v,u,p,t,p
56,k,s,m,e,t,a
57,n,a,g,e,f,n
58,n,n,g,e,t,a
59,k,n,g,e,t,l
60,k,y,p,e,t,a
61,n,v,u,e,f,n
62,n,s,m,e,t,a
63,n,s,m,e,t,l
64,n,n,m,e,t,l
65,n,s,g,e,t,l
66,k,a,g,e,f,n
67,k,s,g,e,t,l
68,n,s,g,e,t,a
69,k,n,g,e,t,a
70,n,v,u,e,f,n
71,n,v,d,e,t,l
72,n,s,m,e,t,l
73,n,v,d,e,t,l
74,k,s,p,e,t,a
75,k,s,g,e,t,a
76,n,v,d,e,t,l
77,u,v,d,e,t,l
78,n,y,p,e,t,l
79,n,v,u,p,t,p
80,n,y,g,e,t,a
81,n,s,g,e,f,n
82,k,s,g,p,t,p
83,n,y,u,e,f,n
84,n,s,g,e,f,n
85,k,s,g,e,t,l
86,k,s,g,e,f,n
87,k,s,g,e,t,a
88,n,s,g,e,t,l
89,k,y,g,e,t,l
90,n,v,u,e,f,n
91,n,y,u,e,f,n
92,k,s,g,e,t,l
93,k,s,g,e,t,a
94,k,n,m,e,t,l
