ID, ring number, ring type
1,o,p
2,o,p
3,o,p
4,o,p
5,o,e
6,o,p
7,o,p
8,o,p
9,o,p
10,o,p
11,o,p
12,o,p
13,o,p
14,o,p
15,o,e
16,o,p
17,o,e
18,o,p
19,o,p
20,o,p
21,o,p
22,o,p
23,o,p
24,o,p
25,o,p
26,o,p
27,o,p
28,o,p
29,o,p
30,o,p
31,o,p
32,o,p
33,o,p
34,o,p
35,o,p
36,o,p
37,o,p
38,o,p
39,o,p
40,o,p
41,o,p
42,o,p
43,o,p
44,o,p
45,o,p
46,o,p
47,o,p
48,o,p
49,o,p
50,o,p
51,o,p
52,o,p
53,o,p
54,o,p
55,o,p
56,o,p
57,o,e
58,o,p
59,o,p
60,o,p
61,o,p
62,o,p
63,o,p
64,o,p
65,o,p
66,o,e
67,o,p
68,o,p
69,o,p
70,o,p
71,o,p
72,o,p
73,o,p
74,o,p
75,o,p
76,o,p
77,o,p
78,o,p
79,o,p
80,o,p
81,o,e
82,o,p
83,o,p
84,o,e
85,o,p
86,o,e
87,o,p
88,o,p
89,o,p
90,o,p
91,o,p
92,o,p
93,o,p
94,o,p
95,o,e
96,o,p
97,o,p
98,o,p
99,o,p
100,o,p
101,o,e
102,o,p
103,o,p
104,o,p
105,o,p
106,o,p
107,o,p
108,o,p
109,o,p
110,o,p
111,o,p
112,o,p
113,o,p
114,o,p
115,o,p
116,o,p
117,o,p
118,o,p
119,o,p
120,o,p
121,o,p
122,o,p
123,o,p
124,o,e
125,o,p
126,o,e
127,o,p
128,o,e
129,o,p
130,o,p
131,o,p
132,o,p
133,o,p
134,o,p
135,o,p
136,o,p
137,o,p
138,o,p
139,o,p
140,o,p
141,o,p
142,o,p
143,o,p
144,o,p
145,o,p
146,o,e
147,o,e
148,o,p
149,o,p
150,o,p
151,o,p
152,o,e
153,o,p
154,o,p
155,o,p
156,o,p
157,o,p
158,o,p
159,o,p
160,o,p
161,o,p
162,o,p
163,o,p
164,o,p
165,o,p
166,o,p
167,o,p
168,o,p
169,o,p
170,o,p
171,o,p
172,o,p
173,o,p
174,o,p
175,o,p
176,o,p
177,o,p
178,o,p
179,o,p
180,o,p
181,o,p
182,o,p
183,o,p
184,o,p
185,o,p
186,o,p
187,o,p
188,o,p
189,o,p
190,o,p
191,o,e
192,o,p
193,o,p
194,o,p
195,o,p
196,o,p
197,o,p
198,o,p
199,o,p
200,o,p
201,o,p
202,o,p
203,o,p
204,o,e
205,o,p
206,o,p
207,o,p
208,o,p
209,o,p
210,o,p
211,o,p
212,o,p
213,o,p
214,o,p
215,o,p
216,o,p
217,o,p
218,o,p
219,o,p
220,o,p
221,o,p
222,o,p
223,o,p
224,o,p
225,o,p
226,o,p
227,o,p
228,o,p
229,o,p
230,o,p
231,o,p
232,o,p
233,o,p
234,o,p
235,o,p
236,o,p
237,o,p
238,o,p
239,o,p
240,o,p
241,o,p
242,o,p
243,o,p
244,o,p
245,o,p
246,o,p
247,o,p
248,o,p
249,o,p
250,o,e
251,o,p
252,o,p
253,o,p
254,o,p
255,o,p
256,o,p
257,o,p
258,o,p
259,o,p
260,o,p
261,o,p
262,o,p
263,o,p
264,o,p
265,o,p
266,o,p
267,o,e
268,o,p
269,o,p
270,o,p
271,o,p
272,o,p
273,o,p
274,o,p
275,o,p
276,o,p
277,o,p
278,o,p
279,o,e
280,o,p
281,o,p
282,o,p
283,o,p
284,o,p
285,o,p
286,o,p
287,o,p
288,o,p
289,o,p
290,o,p
291,o,p
292,o,p
293,o,p
294,o,p
295,o,p
296,o,p
297,o,p
298,o,e
299,o,p
300,o,p
301,o,e
302,o,p
303,o,p
304,o,p
305,o,p
306,o,p
307,o,p
308,o,p
309,o,p
310,o,e
311,o,p
312,o,p
313,o,p
314,o,p
315,o,p
316,o,p
317,o,p
318,o,p
319,o,p
320,o,p
321,o,p
322,o,p
323,o,p
324,o,p
325,o,p
326,o,p
327,o,p
328,o,p
329,o,p
330,o,p
331,o,p
332,o,p
333,o,p
334,o,p
335,o,p
336,o,p
337,o,p
338,o,p
339,o,p
340,o,p
341,o,p
342,o,p
343,o,p
344,o,p
345,o,p
346,o,e
347,o,p
348,o,p
349,o,e
350,o,p
351,o,e
352,o,p
353,o,p
354,o,p
355,o,p
356,o,p
357,o,p
358,o,p
359,o,p
360,o,p
361,o,e
362,o,e
363,o,e
364,o,p
365,o,p
366,o,p
367,o,p
368,o,p
369,o,p
370,o,e
371,o,p
372,o,p
373,o,p
374,o,p
375,o,p
376,o,p
377,o,p
378,o,p
379,o,p
380,o,p
381,o,p
382,o,e
383,o,p
384,o,p
385,o,p
386,o,p
387,o,p
388,o,e
389,o,p
390,o,p
391,o,p
392,o,p
393,o,p
394,o,p
395,o,p
396,o,e
397,o,p
398,o,p
399,o,p
400,o,p
401,o,p
402,o,p
403,o,p
404,o,p
405,o,p
406,o,p
407,o,p
408,o,p
409,o,p
410,o,p
411,o,p
412,o,e
413,o,p
414,o,p
415,o,p
416,o,p
417,o,p
418,o,p
419,o,p
420,o,e
421,o,p
422,o,p
423,o,p
424,o,p
425,o,p
426,o,p
427,o,p
428,o,p
429,o,e
430,o,p
431,o,p
432,o,p
433,o,p
434,o,p
435,o,p
436,o,p
437,o,p
438,o,p
439,o,p
440,o,p
441,o,p
442,o,p
443,o,p
444,o,p
445,o,p
446,o,p
447,o,p
448,o,p
449,o,p
450,o,p
451,o,p
452,o,p
453,o,p
454,o,p
455,o,p
456,o,e
457,o,p
458,o,p
459,o,p
460,o,p
461,o,p
462,o,p
463,o,p
464,o,p
465,o,p
466,o,p
467,o,p
468,o,p
469,o,p
470,o,p
471,o,p
472,o,p
473,o,p
474,o,p
475,o,p
476,o,p
477,o,p
478,o,p
479,o,p
480,o,p
481,o,p
482,o,p
483,o,p
484,o,p
485,o,p
486,o,p
487,o,p
488,o,p
489,o,p
490,o,p
491,o,p
492,o,p
493,o,p
494,o,p
495,o,p
496,o,p
497,o,e
498,o,p
499,o,p
500,o,p
501,o,p
502,o,p
503,o,p
504,o,p
505,o,p
506,o,p
507,o,e
508,o,e
509,o,p
510,o,p
511,o,p
512,o,p
513,o,p
514,o,p
515,o,p
516,o,e
517,o,p
518,o,p
519,o,p
520,o,p
521,o,p
522,o,p
523,o,p
524,o,p
525,o,p
526,o,p
527,o,p
528,o,p
529,o,p
530,o,p
531,o,p
532,o,p
533,o,p
534,o,p
535,o,p
536,o,e
537,o,p
538,o,p
539,o,p
540,o,p
541,o,p
542,o,e
543,o,p
544,o,p
545,o,e
546,o,p
547,o,p
548,o,p
549,o,p
550,o,p
551,o,p
552,o,e
553,o,p
554,o,p
555,o,p
556,o,p
557,o,p
558,o,p
559,o,p
560,o,p
561,o,p
562,o,p
563,o,p
564,o,e
565,o,p
566,o,p
567,o,p
568,o,e
569,o,p
570,o,p
571,o,p
572,o,p
573,o,p
574,o,p
575,o,p
576,o,p
577,o,p
578,o,p
579,o,p
580,o,p
581,o,p
582,o,p
583,o,p
584,o,p
585,o,p
586,o,p
587,o,p
588,o,p
589,o,p
590,o,p
591,o,p
592,o,e
593,o,p
594,o,p
595,o,p
596,o,p
597,o,p
598,o,p
599,o,p
600,o,p
601,o,e
602,o,p
603,o,e
604,o,p
605,o,p
606,o,p
607,o,e
608,o,p
609,o,p
610,o,p
611,o,e
612,o,e
613,o,e
614,o,p
615,o,p
616,o,p
617,o,e
618,o,p
619,o,p
620,o,p
621,o,p
622,o,p
623,o,p
624,o,p
625,o,p
626,o,p
627,o,p
628,o,p
629,o,p
630,o,p
631,o,e
632,o,p
633,o,p
634,o,p
635,o,p
636,o,p
637,o,p
638,o,p
639,o,e
640,o,p
641,o,p
642,o,p
643,o,p
644,o,p
645,o,p
646,o,p
647,o,p
648,o,p
649,o,p
650,o,p
651,o,p
652,o,p
653,o,p
654,o,p
655,o,p
656,o,p
657,o,e
658,o,p
659,o,p
660,o,p
661,o,p
662,o,p
663,o,p
664,o,p
665,o,p
666,o,p
667,o,p
668,o,p
669,o,p
670,o,p
671,o,p
672,o,p
673,o,e
674,o,p
675,o,p
676,o,p
677,o,p
678,o,p
679,o,p
680,o,p
681,o,p
682,o,p
683,o,p
684,o,p
685,o,p
686,o,p
687,o,p
688,o,p
689,o,p
690,o,p
691,o,p
692,o,p
693,o,p
694,o,e
695,o,p
696,o,p
697,o,p
698,o,p
699,o,p
700,o,e
701,o,p
702,o,e
703,o,p
704,o,p
705,o,p
706,o,p
707,o,p
708,o,p
709,o,p
710,o,p
711,o,p
712,o,e
713,o,p
714,o,p
715,o,p
716,o,p
717,o,p
718,o,p
719,o,p
720,o,p
721,o,p
722,o,p
723,o,p
724,o,e
725,o,p
726,o,p
727,o,p
728,o,e
729,o,p
730,o,p
731,o,p
732,o,e
733,o,p
734,o,p
735,o,p
736,o,p
737,o,p
738,o,p
739,o,p
740,o,p
741,o,p
742,o,p
743,o,p
744,o,p
745,o,p
746,o,p
747,o,p
748,o,p
749,o,p
750,o,p
751,o,p
752,o,p
753,o,p
754,o,p
755,o,p
756,o,p
757,o,p
758,o,e
759,o,p
760,o,p
761,o,p
762,o,p
763,o,p
764,o,p
765,o,p
766,o,e
767,o,p
768,o,p
769,o,p
770,o,p
771,o,p
772,o,p
773,o,p
774,o,p
775,o,e
776,o,p
777,o,p
778,o,p
779,o,p
780,o,p
781,o,p
782,o,p
783,o,p
784,o,p
785,o,p
786,o,p
787,o,p
788,o,p
789,o,p
790,o,p
791,o,p
792,o,p
793,o,p
794,o,p
795,o,p
796,o,p
797,o,p
798,o,e
799,o,p
800,o,p
801,o,p
802,o,p
803,o,p
804,o,p
805,o,p
806,o,p
807,o,p
808,o,p
809,o,p
810,o,p
811,o,p
812,o,p
813,o,p
814,o,p
815,o,p
816,o,p
817,o,p
818,o,p
819,o,p
820,o,p
821,o,p
822,o,p
823,o,p
824,o,p
825,o,p
826,o,p
827,o,p
828,o,p
829,o,p
830,o,p
831,o,p
832,o,p
833,o,p
834,o,p
835,o,p
836,o,p
837,o,p
838,o,p
839,o,p
840,o,p
841,o,p
842,o,p
843,o,p
844,o,p
845,o,p
846,o,e
847,o,p
848,o,p
849,o,p
850,o,p
851,o,p
852,o,p
853,o,p
854,o,e
855,o,p
856,o,p
857,o,p
858,o,p
859,o,p
860,o,p
861,o,p
862,o,p
863,o,p
864,o,p
865,o,p
866,o,p
867,o,p
868,o,p
869,o,p
870,o,p
871,o,p
872,o,p
873,o,p
874,o,p
875,o,p
876,o,p
877,o,p
878,o,p
879,o,p
880,o,p
881,o,p
882,o,e
883,o,p
884,o,p
885,o,p
886,o,p
887,o,p
888,o,p
889,o,p
890,o,p
891,o,p
892,o,p
893,o,p
894,o,p
895,o,p
896,o,p
897,o,p
898,o,p
899,o,p
900,o,p
901,o,p
902,o,e
903,o,e
904,o,e
905,o,p
906,o,e
907,o,p
908,o,e
909,o,p
910,o,p
911,o,p
912,o,e
913,o,p
914,o,e
915,o,e
916,o,p
917,o,p
918,o,p
919,o,e
920,o,e
921,o,e
922,o,e
923,o,p
924,o,p
925,o,e
926,o,e
927,o,e
928,o,p
929,o,p
930,o,p
931,o,e
932,o,e
933,o,p
934,o,p
935,o,p
936,o,e
937,o,p
938,o,e
939,o,e
940,o,p
941,o,p
942,o,e
943,o,p
944,o,e
945,o,p
946,o,e
947,o,e
948,o,p
949,o,e
950,o,p
951,o,p
952,o,p
953,o,e
954,o,e
955,o,e
956,o,p
957,o,p
958,o,p
959,o,p
960,o,p
961,o,e
962,o,e
963,o,p
964,o,p
965,o,e
966,o,e
967,o,p
968,o,p
969,o,e
970,o,e
971,o,e
972,o,p
973,o,p
974,o,e
975,o,p
976,o,e
977,o,p
978,o,p
979,o,p
980,o,e
981,o,p
982,o,p
983,o,e
984,o,e
985,o,p
986,o,e
987,o,e
988,o,e
989,o,e
990,o,p
991,o,p
992,o,e
993,o,e
994,o,p
995,o,e
996,o,e
997,o,p
998,o,p
999,o,p
1000,o,p
1001,o,p
1002,o,p
1003,o,e
1004,o,p
1005,o,p
1006,o,e
1007,o,e
1008,o,e
1009,o,e
1010,o,p
1011,o,p
1012,o,e
1013,o,p
1014,o,e
1015,o,e
1016,o,p
1017,o,p
1018,o,p
1019,o,p
1020,o,p
1021,o,e
1022,o,p
1023,o,p
1024,o,p
1025,o,p
1026,o,p
1027,o,p
1028,o,p
1029,o,p
1030,o,e
1031,o,p
1032,o,p
1033,o,e
1034,o,e
1035,o,e
1036,o,e
1037,o,p
1038,o,p
1039,o,p
1040,o,p
1041,o,p
1042,o,p
1043,o,e
1044,o,p
1045,o,e
1046,o,p
1047,o,e
1048,o,p
1049,o,p
1050,o,e
1051,o,p
1052,o,p
1053,o,e
1054,o,p
1055,o,e
1056,o,p
1057,o,p
1058,o,e
1059,o,p
1060,o,e
1061,o,e
1062,o,p
1063,o,e
1064,o,e
1065,o,p
1066,o,p
1067,o,p
1068,o,e
1069,o,p
1070,o,p
1071,o,e
1072,o,p
1073,o,p
1074,o,p
1075,o,p
1076,o,e
1077,o,p
1078,o,p
1079,o,e
1080,o,p
1081,o,e
1082,o,p
1083,o,p
1084,o,e
1085,o,p
1086,o,e
1087,o,p
1088,o,p
1089,o,p
1090,o,p
1091,o,p
1092,o,p
1093,o,e
1094,o,p
1095,o,e
1096,o,p
1097,o,e
1098,o,e
1099,o,e
1100,o,p
1101,o,e
1102,o,e
1103,o,e
1104,o,p
1105,o,e
1106,o,e
1107,o,p
1108,o,e
1109,o,p
1110,o,e
1111,o,e
1112,o,p
1113,o,p
1114,o,e
1115,o,p
1116,o,e
1117,o,e
1118,o,e
1119,o,e
1120,o,e
1121,o,e
1122,o,e
1123,o,e
1124,o,p
1125,o,p
1126,o,e
1127,o,e
1128,o,p
1129,o,e
1130,o,e
1131,o,p
1132,o,e
1133,o,p
1134,o,e
1135,o,p
1136,o,e
1137,o,p
1138,o,p
1139,o,e
1140,o,e
1141,o,e
1142,o,p
1143,o,e
1144,o,e
1145,o,e
1146,o,e
1147,o,e
1148,o,e
1149,o,e
1150,o,e
1151,o,e
1152,o,p
1153,o,p
1154,o,e
1155,o,p
1156,o,p
1157,o,e
1158,o,e
1159,o,e
1160,o,e
1161,o,p
1162,o,e
1163,o,p
1164,o,p
1165,o,e
1166,o,p
1167,o,p
