ID, stalk root, stalk surface above ring, stalk surface below ring, stalk color above ring, stalk color below ring, stalk shape
1,e,s,s,w,w,e
2,c,s,s,w,w,e
3,c,s,s,w,w,e
4,e,s,s,w,w,e
5,e,s,s,w,w,t
6,c,s,s,w,w,e
7,c,s,s,w,w,e
8,c,s,s,w,w,e
9,e,s,s,w,w,e
10,c,s,s,w,w,e
11,c,s,s,w,w,e
12,c,s,s,w,w,e
13,c,s,s,w,w,e
14,e,s,s,w,w,e
15,e,s,f,w,w,t
16,e,s,s,w,w,e
17,e,s,s,w,w,t
18,e,s,s,w,w,e
19,e,s,s,w,w,e
20,e,s,s,w,w,e
21,c,s,s,w,w,e
22,e,s,s,w,w,e
23,c,s,s,w,w,e
24,c,s,s,w,w,e
25,c,s,s,w,w,e
26,e,s,s,w,w,e
27,c,s,s,w,w,e
28,c,s,s,w,w,e
29,e,s,s,w,w,e
30,b,s,s,w,w,t
31,c,s,s,w,w,e
32,e,s,s,w,w,e
33,c,s,s,w,w,e
34,r,s,y,w,w,e
35,c,s,s,w,w,e
36,b,s,s,w,w,t
37,e,s,s,w,w,e
38,e,s,s,w,w,e
39,b,s,s,w,w,t
40,c,s,s,w,w,e
41,c,s,s,w,w,e
42,r,s,y,w,w,e
43,e,s,s,w,w,e
44,e,s,s,w,w,e
45,c,s,s,w,w,e
46,c,s,s,w,w,e
47,c,s,s,w,w,e
48,c,s,s,w,w,e
49,r,s,y,w,w,e
50,r,s,y,w,w,e
51,r,s,y,w,w,e
52,c,s,s,w,w,e
53,c,s,s,w,w,e
54,e,s,s,w,w,e
55,e,s,s,w,w,e
56,c,s,s,w,w,e
57,e,s,s,w,w,t
58,c,s,s,w,w,e
59,c,s,s,w,w,e
60,r,s,y,w,w,e
61,e,s,s,w,w,e
62,c,s,s,w,w,e
63,c,s,s,w,w,e
64,c,s,s,w,w,e
65,c,s,s,w,w,e
66,e,s,s,w,w,t
67,c,s,s,w,w,e
68,r,s,y,w,w,e
69,c,s,s,w,w,e
70,e,s,s,w,w,e
71,b,s,s,w,w,t
72,c,s,s,w,w,e
73,b,s,s,w,w,t
74,r,s,y,w,w,e
75,c,s,s,w,w,e
76,b,s,s,w,w,t
77,b,s,s,w,w,t
78,r,s,y,w,w,e
79,e,s,s,w,w,e
80,r,s,y,w,w,e
81,e,f,s,w,w,t
82,e,s,s,w,w,e
83,e,s,s,w,w,e
84,e,s,s,w,w,t
85,r,s,y,w,w,e
86,e,s,s,w,w,t
87,c,s,s,w,w,e
88,c,s,s,w,w,e
89,r,s,y,w,w,e
90,e,s,s,w,w,e
91,e,s,s,w,w,e
92,c,s,s,w,w,e
93,c,s,s,w,w,e
94,c,s,s,w,w,e
95,e,s,s,w,w,t
96,c,s,s,w,w,e
97,r,s,y,w,w,e
98,c,s,s,w,w,e
99,c,s,s,w,w,e
100,c,s,s,w,w,e
101,e,f,s,w,w,t
102,c,s,s,w,w,e
103,r,s,y,w,w,e
104,r,s,y,w,w,e
105,c,s,s,w,w,e
106,c,s,s,w,w,e
107,r,s,y,w,w,e
108,c,s,s,w,w,e
109,c,s,s,w,w,e
110,c,s,s,w,w,e
111,c,s,s,w,w,e
112,e,s,s,w,w,e
113,b,s,s,w,w,t
114,c,s,s,w,w,e
115,e,s,s,w,w,e
116,r,s,y,w,w,e
117,e,s,s,w,w,e
118,r,s,y,w,w,e
119,b,s,s,w,w,t
120,e,s,s,w,w,e
121,e,s,s,w,w,e
122,c,s,s,w,w,e
123,e,s,s,w,w,e
124,e,s,s,w,w,t
125,c,s,s,w,w,e
126,e,s,f,w,w,t
127,c,s,s,w,w,e
128,e,s,s,w,w,t
129,c,s,s,w,w,e
130,c,s,s,w,w,e
131,c,s,s,w,w,e
132,c,s,s,w,w,e
133,b,s,s,w,w,t
134,c,s,s,w,w,e
135,b,s,s,w,w,t
136,e,s,s,w,w,e
137,b,s,s,w,w,t
138,c,s,s,w,w,e
139,e,s,s,w,w,e
140,c,s,s,w,w,e
141,r,s,y,w,w,e
142,c,s,s,w,w,e
