ID, veil type, veil color
1,p,w
2,p,w
3,p,w
4,p,w
5,p,w
6,p,w
7,p,w
8,p,w
9,p,w
10,p,w
11,p,w
12,p,w
13,p,w
14,p,w
15,p,w
16,p,w
17,p,w
18,p,w
19,p,w
20,p,w
21,p,w
22,p,w
23,p,w
24,p,w
25,p,w
26,p,w
27,p,w
28,p,w
29,p,w
30,p,w
31,p,w
32,p,w
33,p,w
34,p,w
35,p,w
36,p,w
37,p,w
38,p,w
39,p,w
40,p,w
41,p,w
42,p,w
43,p,w
44,p,w
45,p,w
46,p,w
47,p,w
48,p,w
49,p,w
50,p,w
51,p,w
52,p,w
53,p,w
54,p,w
55,p,w
56,p,w
57,p,w
58,p,w
59,p,w
60,p,w
61,p,w
62,p,w
63,p,w
64,p,w
65,p,w
66,p,w
67,p,w
68,p,w
69,p,w
70,p,w
71,p,w
72,p,w
73,p,w
74,p,w
75,p,w
76,p,w
77,p,w
78,p,w
79,p,w
80,p,w
81,p,w
82,p,w
83,p,w
84,p,w
85,p,w
86,p,w
87,p,w
88,p,w
89,p,w
90,p,w
91,p,w
92,p,w
93,p,w
94,p,w
95,p,w
96,p,w
97,p,w
98,p,w
99,p,w
100,p,w
101,p,w
102,p,w
103,p,w
104,p,w
105,p,w
106,p,w
107,p,w
108,p,w
109,p,w
110,p,w
111,p,w
112,p,w
113,p,w
114,p,w
115,p,w
116,p,w
117,p,w
118,p,w
119,p,w
120,p,w
121,p,w
122,p,w
123,p,w
124,p,w
125,p,w
126,p,w
127,p,w
128,p,w
129,p,w
130,p,w
131,p,w
132,p,w
133,p,w
134,p,w
135,p,w
136,p,w
137,p,w
138,p,w
139,p,w
140,p,w
141,p,w
142,p,w
143,p,w
144,p,w
145,p,w
146,p,w
147,p,w
148,p,w
149,p,w
150,p,w
151,p,w
152,p,w
153,p,w
154,p,w
155,p,w
156,p,w
157,p,w
158,p,w
159,p,w
160,p,w
161,p,w
162,p,w
163,p,w
164,p,w
165,p,w
166,p,w
167,p,w
168,p,w
169,p,w
170,p,w
171,p,w
172,p,w
173,p,w
174,p,w
175,p,w
176,p,w
177,p,w
178,p,w
179,p,w
180,p,w
181,p,w
182,p,w
183,p,w
184,p,w
185,p,w
186,p,w
187,p,w
188,p,w
189,p,w
190,p,w
191,p,w
192,p,w
193,p,w
194,p,w
195,p,w
196,p,w
197,p,w
198,p,w
199,p,w
200,p,w
201,p,w
202,p,w
203,p,w
204,p,w
205,p,w
206,p,w
207,p,w
208,p,w
209,p,w
210,p,w
211,p,w
212,p,w
213,p,w
214,p,w
215,p,w
216,p,w
217,p,w
218,p,w
219,p,w
220,p,w
221,p,w
222,p,w
223,p,w
224,p,w
225,p,w
226,p,w
227,p,w
228,p,w
229,p,w
230,p,w
231,p,w
232,p,w
233,p,w
234,p,w
235,p,w
236,p,w
237,p,w
238,p,w
239,p,w
240,p,w
241,p,w
242,p,w
243,p,w
244,p,w
245,p,w
246,p,w
247,p,w
248,p,w
249,p,w
250,p,w
251,p,w
252,p,w
253,p,w
254,p,w
255,p,w
256,p,w
257,p,w
258,p,w
259,p,w
260,p,w
261,p,w
262,p,w
263,p,w
264,p,w
265,p,w
266,p,w
267,p,w
268,p,w
269,p,w
270,p,w
271,p,w
272,p,w
273,p,w
274,p,w
275,p,w
276,p,w
277,p,w
278,p,w
279,p,w
280,p,w
281,p,w
282,p,w
283,p,w
284,p,w
285,p,w
286,p,w
287,p,w
288,p,w
289,p,w
290,p,w
291,p,w
292,p,w
293,p,w
294,p,w
295,p,w
296,p,w
297,p,w
298,p,w
299,p,w
300,p,w
301,p,w
302,p,w
303,p,w
304,p,w
305,p,w
306,p,w
307,p,w
308,p,w
309,p,w
310,p,w
311,p,w
312,p,w
313,p,w
314,p,w
315,p,w
316,p,w
317,p,w
318,p,w
319,p,w
320,p,w
321,p,w
322,p,w
323,p,w
324,p,w
325,p,w
326,p,w
327,p,w
328,p,w
329,p,w
330,p,w
331,p,w
332,p,w
333,p,w
334,p,w
335,p,w
336,p,w
337,p,w
338,p,w
339,p,w
340,p,w
341,p,w
342,p,w
343,p,w
344,p,w
345,p,w
346,p,w
347,p,w
348,p,w
349,p,w
350,p,w
351,p,w
352,p,w
353,p,w
354,p,w
355,p,w
356,p,w
357,p,w
358,p,w
359,p,w
360,p,w
361,p,w
362,p,w
363,p,w
364,p,w
365,p,w
366,p,w
367,p,w
368,p,w
369,p,w
370,p,w
371,p,w
372,p,w
373,p,w
374,p,w
375,p,w
376,p,w
377,p,w
378,p,w
379,p,w
380,p,w
381,p,w
382,p,w
383,p,w
384,p,w
385,p,w
386,p,w
387,p,w
388,p,w
389,p,w
390,p,w
391,p,w
392,p,w
393,p,w
394,p,w
395,p,w
396,p,w
397,p,w
398,p,w
399,p,w
400,p,w
401,p,w
402,p,w
403,p,w
404,p,w
405,p,w
406,p,w
407,p,w
408,p,w
409,p,w
410,p,w
411,p,w
412,p,w
413,p,w
414,p,w
415,p,w
416,p,w
417,p,w
418,p,w
419,p,w
420,p,w
421,p,w
422,p,w
423,p,w
424,p,w
425,p,w
426,p,w
427,p,w
428,p,w
429,p,w
430,p,w
431,p,w
432,p,w
433,p,w
434,p,w
435,p,w
436,p,w
437,p,w
438,p,w
439,p,w
440,p,w
441,p,w
442,p,w
443,p,w
444,p,w
445,p,w
446,p,w
447,p,w
448,p,w
449,p,w
450,p,w
451,p,w
452,p,w
453,p,w
454,p,w
455,p,w
456,p,w
457,p,w
458,p,w
459,p,w
460,p,w
461,p,w
462,p,w
463,p,w
464,p,w
465,p,w
466,p,w
467,p,w
468,p,w
469,p,w
470,p,w
471,p,w
472,p,w
473,p,w
474,p,w
475,p,w
476,p,w
477,p,w
478,p,w
479,p,w
480,p,w
481,p,w
482,p,w
483,p,w
484,p,w
485,p,w
486,p,w
487,p,w
488,p,w
489,p,w
490,p,w
491,p,w
492,p,w
493,p,w
494,p,w
495,p,w
496,p,w
497,p,w
498,p,w
499,p,w
500,p,w
501,p,w
502,p,w
503,p,w
504,p,w
505,p,w
506,p,w
507,p,w
508,p,w
509,p,w
510,p,w
511,p,w
512,p,w
513,p,w
514,p,w
515,p,w
516,p,w
517,p,w
518,p,w
519,p,w
520,p,w
521,p,w
522,p,w
523,p,w
524,p,w
525,p,w
526,p,w
527,p,w
528,p,w
529,p,w
530,p,w
531,p,w
532,p,w
533,p,w
534,p,w
535,p,w
536,p,w
537,p,w
538,p,w
539,p,w
540,p,w
541,p,w
542,p,w
543,p,w
544,p,w
545,p,w
546,p,w
547,p,w
548,p,w
549,p,w
550,p,w
551,p,w
552,p,w
553,p,w
554,p,w
555,p,w
556,p,w
557,p,w
558,p,w
559,p,w
560,p,w
561,p,w
562,p,w
563,p,w
564,p,w
565,p,w
566,p,w
567,p,w
568,p,w
569,p,w
570,p,w
571,p,w
572,p,w
573,p,w
574,p,w
575,p,w
576,p,w
577,p,w
578,p,w
579,p,w
580,p,w
581,p,w
582,p,w
583,p,w
584,p,w
585,p,w
586,p,w
587,p,w
588,p,w
589,p,w
590,p,w
591,p,w
592,p,w
593,p,w
594,p,w
595,p,w
596,p,w
597,p,w
598,p,w
599,p,w
600,p,w
601,p,w
602,p,w
603,p,w
604,p,w
605,p,w
606,p,w
607,p,w
608,p,w
609,p,w
610,p,w
611,p,w
612,p,w
613,p,w
614,p,w
615,p,w
616,p,w
617,p,w
618,p,w
619,p,w
620,p,w
621,p,w
622,p,w
